name,full_name,team,position,price,total_points,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,xG,xA,xGI,xGC,form,points_per_game,selected_by_percent,status,chance_of_playing,news
Raya,David Raya Martín,Arsenal,GK,5.9,86,1890,0,0,10,14,0,0,0,1,0,32,4,348,320.2,20.3,0.0,34.1,0.0,0.04,0.04,15.43,3.6,4.1,33.6,a,,
Arrizabalaga,Kepa Arrizabalaga Revuelta,Arsenal,GK,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,a,,
Hein,Karl Hein,Arsenal,GK,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,u,0.0,Has joined Werder Bremen on loan for the rest of the season.
Setford,Tommy Setford,Arsenal,GK,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,a,,
Gabriel,Gabriel dos Santos Magalhães,Arsenal,DEF,6.7,112,1265,3,2,9,7,0,0,0,1,0,0,16,362,443.6,73.0,158.0,67.3,1.56,0.76,2.32,8.95,6.2,7.5,33.2,a,100.0,
Saliba,William Saliba,Arsenal,DEF,5.9,61,1354,0,0,7,9,0,0,0,0,0,0,2,288,269.0,64.0,22.0,35.5,0.29,0.44,0.73,10.61,3.6,3.6,11.9,a,100.0,
Calafiori,Riccardo Calafiori,Arsenal,DEF,5.6,77,1256,1,2,9,7,0,0,0,5,0,0,4,287,222.0,104.8,219.0,54.5,2.49,0.36,2.85,7.09,1.2,4.8,6.5,i,0.0,Muscle injury - Unknown return date
J.Timber,Jurriën Timber,Arsenal,DEF,6.3,104,1639,2,4,9,12,0,0,0,2,0,0,7,374,375.0,277.2,315.0,97.0,4.06,0.85,4.91,11.22,4.8,5.2,27.7,a,100.0,
Kiwior,Jakub Kiwior,Arsenal,DEF,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,0.0,has joined Porto on loan for the rest of the season.
Lewis-Skelly,Myles Lewis-Skelly,Arsenal,DEF,5.1,12,311,0,0,0,5,0,0,0,3,0,0,0,36,31.2,45.5,18.0,9.4,0.05,0.06,0.11,5.26,0.6,0.9,1.5,a,,
